id,name,parent_id/id,property_account_income_categ_id/id,property_account_expense_categ_id/id,company_id/id
__setup__.product_category_MTE_all,All,,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_1,Saleable,__setup__.product_category_MTE_all,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_expense,Expenses,__setup__.product_category_MTE_all,__setup__.l10n_ch_coa_original_3200_base_main_company,__setup__.l10n_ch_coa_original_4200_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_brin_de_bracelets,Brin de bracelets,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_carrure,Carrure,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_fond,Fond,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_lunette,Lunette,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_boucle,Boucle,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_attache,Attache,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_maillon,Maillon,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_protege_couronne,Protège Couronne,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_couronne,Couronne,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_poussoir,Poussoir,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_ardillon,Ardillon,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_vis,Vis,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_piece_mouvement,Pièce mouvement,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_tube,Tube,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
__setup__.product_category_MTE_essai,Essai,__setup__.product_category_MTE_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company,__setup__.res_company_metallo_tests_sa
